location_station_id,location_station_name,location_province,location_district,location_latitude,location_longitude,timestamp,data_source,data_quality,data_time,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability,y_true,y_pred,abs_err
QT_TL,Huyện Triệu Phong - Quảng Trị,Quảng Trị,Triệu Phong,16.7833,107.1667,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,27.4,29.0,18.6,23.5,68.0,100.0,60.0,85.6,1014.7,1020.1,1009.0,1014.8,11.2,17.5,0.8,7.2,86.0,58.8,0.0,0.5,0.0,0.2,5.7,78.0,83.0,16.0,31.0,13.0,12.0,6.0,8.0,11.0,5.7,0.38592687470212617,5.314073125297874
QB_QH,Huyện Quảng Trạch - Quảng Bình,Quảng Bình,Quảng Trạch,17.8333,106.4167,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,25.7,26.5,18.7,22.0,72.0,100.0,67.0,89.7,1015.2,1021.4,1009.2,1015.5,11.8,14.2,0.4,5.1,113.0,67.1,0.0,0.4,0.0,0.2,5.3,37.0,86.0,25.0,33.0,11.0,13.0,4.0,6.0,7.0,5.3,0.409386703877766,4.8906132961222335
HP_VB,Huyện Vĩnh Bảo - Hải Phòng,Hải Phòng,Vĩnh Bảo,20.7,106.4667,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,25.1,28.0,18.2,21.4,68.0,99.0,53.0,82.1,1016.3,1023.3,1008.1,1016.1,10.9,19.7,0.7,9.6,186.0,118.3,0.0,0.7,0.0,0.2,5.3,33.0,85.0,12.0,46.0,9.0,10.0,5.0,7.0,28.0,5.3,0.44410724771468657,4.855892752285313
TTH_H,Thành phố Huế - Thừa Thiên Huế,Thừa Thiên Huế,Huế,16.4637,107.5909,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,26.8,27.2,19.2,23.4,73.0,98.0,71.0,87.1,1014.3,1020.1,1008.8,1014.7,12.4,20.2,1.4,9.1,80.0,97.8,0.0,0.6,0.0,0.2,5.0,21.0,76.0,29.0,53.0,8.0,14.0,3.0,12.0,26.0,5.0,0.38225854959298944,4.617741450407011
Tam Dương,Tam Dương,Vĩnh Phúc,Châu Thành,13.2167,106.3366,2026-02-16 09:36:00,openmeteo,medium,2026-02-16 09:36:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,5.6,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,5.6,1.055446095787522,4.544553904212478
LC_LC,Thành phố Lai Châu - Lai Châu,Lai Châu,Lai Châu,22.4,103.45,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,25.5,28.3,17.2,21.5,65.0,95.0,40.0,73.2,1015.8,1021.6,1008.0,1014.9,4.6,10.0,1.1,5.7,231.0,153.8,0.0,0.4,0.0,0.2,4.8,23.0,83.0,21.0,59.0,11.0,14.0,3.0,11.0,5.0,4.8,0.45396015151576247,4.346039848484238
QN_HD,Huyện Hải Hà - Quảng Ninh,Quảng Ninh,Hải Hà,21.4333,107.7167,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,22.7,24.4,15.7,18.5,70.0,98.0,63.0,83.3,1017.2,1024.0,1010.4,1017.4,7.3,12.1,1.3,6.1,191.0,102.0,0.0,1.1,0.0,0.2,4.8,79.0,65.0,12.0,58.0,7.0,16.0,5.0,11.0,12.0,4.8,0.4562525910341997,4.3437474089658
TB_QH,Huyện Quỳnh Phụ - Thái Bình,Thái Bình,Quỳnh Phụ,20.65,106.3333,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,25.1,27.9,18.2,21.4,69.0,99.0,53.0,82.5,1016.3,1023.2,1008.0,1016.1,10.1,19.6,1.4,9.0,184.0,119.8,0.0,0.6,0.0,0.2,4.5,64.0,63.0,28.0,58.0,11.0,17.0,6.0,7.0,25.0,4.5,0.3883132274418458,4.111686772558154
QN_BG,Huyện Ba Chẽ - Quảng Ninh,Quảng Ninh,Ba Chẽ,21.2833,107.1833,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,26.4,27.9,15.8,20.7,58.0,100.0,52.0,81.2,1015.9,1023.6,1009.6,1016.7,9.2,16.2,0.5,5.7,211.0,103.3,0.0,1.0,0.0,0.2,4.5,21.0,83.0,27.0,37.0,14.0,18.0,5.0,7.0,17.0,4.5,0.42476953028635644,4.0752304697136434
QN_BG,Huyện Ba Chẽ - Quảng Ninh,Quảng Ninh,Ba Chẽ,21.2833,107.1833,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,26.0,27.9,15.8,20.7,60.0,100.0,52.0,81.2,1016.3,1023.6,1009.6,1016.7,9.0,16.2,0.5,5.7,209.0,103.3,0.0,1.0,0.0,0.2,4.5,68.0,69.0,30.0,57.0,13.0,17.0,5.0,12.0,23.0,4.5,0.4263681344841661,4.073631865515834
BN_BN,Thành phố Bắc Ninh - Bắc Ninh,Bắc Ninh,Bắc Ninh,21.1861,106.0764,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,25.1,28.3,19.0,21.8,70.0,99.0,57.0,82.9,1016.1,1023.0,1007.7,1016.0,10.2,15.9,0.4,6.8,172.0,138.8,0.0,0.8,0.0,0.2,4.5,32.0,63.0,10.0,41.0,7.0,10.0,6.0,8.0,6.0,4.5,0.4408953390259138,4.059104660974086
TTH_QD,Huyện Quảng Điền - Thừa Thiên Huế,Thừa Thiên Huế,Quảng Điền,16.5833,107.5,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,26.9,28.2,17.6,23.1,69.0,100.0,66.0,87.1,1014.7,1020.1,1008.9,1014.8,9.4,15.7,0.7,6.4,90.0,106.3,0.0,0.6,0.0,0.2,4.4,32.0,70.0,25.0,40.0,15.0,19.0,7.0,10.0,9.0,4.4,0.3829595096729521,4.017040490327048
LC_LC2,Thành phố Lào Cai - Lào Cai,Lào Cai,Lào Cai,22.4833,103.95,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,23.8,27.2,16.6,21.1,80.0,100.0,67.0,85.5,1016.5,1023.2,1007.1,1015.8,6.8,10.2,0.4,5.0,72.0,78.8,0.0,0.4,0.0,0.2,4.3,30.0,62.0,12.0,45.0,13.0,13.0,7.0,10.0,21.0,4.3,0.44727413011910827,3.8527258698808917
Đăk La,Đăk La,Kon Tum,Châu Thành,13.2167,106.3366,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,4.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,4.0,0.2546352886755916,3.7453647113244086
BG_BG,Thành phố Bắc Giang - Bắc Giang,Bắc Giang,Bắc Giang,21.2667,106.2,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,26.1,28.4,19.3,22.3,67.0,99.0,56.0,81.9,1015.7,1022.9,1007.8,1016.0,10.1,15.9,0.0,5.6,174.0,131.9,0.0,0.8,0.0,0.2,4.8,32.0,80.0,19.0,39.0,7.0,19.0,2.0,10.0,29.0,4.8,1.1653098205700985,3.634690179429901
QN_NT,Huyện Núi Thành - Quảng Nam,Quảng Nam,Núi Thành,15.4333,108.6667,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,29.6,32.0,18.6,24.6,63.0,98.0,53.0,84.0,1014.1,1020.4,1008.6,1015.2,8.7,13.0,0.4,5.6,66.0,89.3,0.0,0.5,0.0,0.2,3.9,39.0,69.0,38.0,60.0,5.0,18.0,8.0,9.0,9.0,3.9,0.3668460351399852,3.5331539648600145
