station_id,station_name,province,district,rain_total,status,timestamp,data_time
Tân Phú,Tân Phú,Vĩnh Long,xã Tân Phú,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
TP. Bến Tre,TP. Bến Tre,Vĩnh Long,phường An Hội,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
An Ngãi Trung,An Ngãi Trung,Vĩnh Long,xã An Ngãi Trung,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Trà Cú,Trà Cú,Vĩnh Long,xã Trà Cú,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cống Phú Phong,Cống Phú Phong,Đồng Tháp,xã Vĩnh Kim,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cụm Thủy nông Gò Công,Cụm Thủy nông Gò Công,Đồng Tháp,phường Bình Xuân,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Sa Đéc,Sa Đéc,Đồng Tháp,phường Sa Đéc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cụm Thủy nông Xuân Hòa,Cụm Thủy nông Xuân Hòa,Đồng Tháp,xã Bình Ninh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
VP CN TN Gò Công,VP CN TN Gò Công,Đồng Tháp,xã Đồng Sơn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cống Tân Thuận Bình,Cống Tân Thuận Bình,Đồng Tháp,xã Tân Thuận Bình,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cống Gia Thuận,Cống Gia Thuận,Đồng Tháp,xã Gia Thuận,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cống Rạch Bùn,Cống Rạch Bùn,Đồng Tháp,xã Tân Điền,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Gò Công Đông,Gò Công Đông,Đồng Tháp,phường Long Thuận,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cụm Thủy nông Cái Bè,Cụm Thủy nông Cái Bè,Đồng Tháp,xã Cái Bè,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cụm Thủy Nông Long Uông,Cụm Thủy Nông Long Uông,Đồng Tháp,xã Tân Hòa,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cái Bè,Cái Bè,Đồng Tháp,xã Cái Bè,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cống số 3 Sông Tra,Cống số 3 Sông Tra,Đồng Tháp,xã Đồng Sơn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Chợ Gạo,Chợ Gạo,Đồng Tháp,xã Chợ Gạo,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cống Rạch Mương,Cống Rạch Mương,Đồng Tháp,xã Tân Phú Đông,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Phú Mỹ,Phú Mỹ,Đồng Tháp,xã Hưng Thạnh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
VP CN Thủy Nông Bảo Định,VP CN Thủy Nông Bảo Định,Đồng Tháp,phường Trung An,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cụm Thủy nông Vàm Giồng,Cụm Thủy nông Vàm Giồng,Đồng Tháp,xã Vĩnh Hựu,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
